product_id,Name,Description,Size,Category
1,Turtle Check Men Navy Blue Shirt,A Navy Blue Shirt perfect for Fall.,S,Clothing
2,Manchester United Men Solid Black Track Pants,A Black Track Pant perfect for Fall.,S,Clothing
3,Puma Men Grey T-shirt,A Grey T-shirt perfect for Summer.,S,Clothing
4,Inkfruit Men Chain Reaction T-shirt,A Grey T-shirt perfect for Summer.,S,Clothing
5,Fabindia Men Striped Green Shirt,A Green Shirt perfect for Summer.,S,Clothing
6,Reid & Taylor Men Check Purple Shirts,A Purple Shirt perfect for Fall.,S,Clothing
7,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,A Grey Sweatshirt perfect for Fall.,S,Clothing
8,Fila Men's Round Neck Navy Blue T-shirt,A Navy Blue T-shirt perfect for Fall.,S,Clothing
9,John Players Men Navy Blue Shirt,A Navy Blue Shirt perfect for Summer.,S,MClothing
10,John Players Men Brown Shirt,A Brown Shirt perfect for Summer.,S,Clothing
11,Puma Men Long Logo Black Bermuda,A Black Shorts perfect for Summer.,S,Clothing
12,John Miller Men Stripes White Red Shirts,A Red Shirt perfect for Fall.,S,Clothing
13,Puma Men's Stripe Polo Black T-shirt,A Black T-shirt perfect for Summer.,S,Clothing
14,Gini and Jony Boy's Kaleb White Brown Kidswear,A White Shirt perfect for Summer.,S,Clothing
15,Wrangler Men Motor Rider Red T-Shirt,A Red T-shirt perfect for Fall.,S,Clothing
16,Puma Men Scribble Black T-shirt,A Black T-shirt perfect for Fall.,S,Clothing
17,Do U Speak Green Men Blue Shorts,A Blue Shorts perfect for Summer.,S,Clothing
18,Indigo Nation Men Reversible Bling Pink Shirt,A Pink Shirt perfect for Fall.,S,Clothing
19,ADIDAS Men Blue Sweatshirt,A Blue Sweatshirt perfect for Fall.,S,Clothing
20,Manchester United Men Solid Red T-shirt,A Red T-shirt perfect for Fall.,S,Clothing
21,Jealous 21 Women Purple Shirt,A Purple Shirt perfect for Summer.,S,Clothing
22,Jealous 21 Women Pink T-shirt,A Pink T-shirt perfect for Summer.,S,Clothing
23,Nike Women Purple Polo T-shirt,A Purple T-shirt perfect for Summer.,S,Clothing
24,Nike Women Black T-shirt,A Black T-shirt perfect for Fall.,S,Clothing
25,United Colors Of Benetton Women Light Winter Black Sweatshirt,A Black Sweatshirt perfect for Fall.,S,Clothing
26,Nike Women Solid Pink Shorts,A Pink Shorts perfect for Fall.,S,Clothing
27,Little Miss Women Printed Grey T-shirt,A Grey T-shirt perfect for Fall.,S,Clothing
28,Tantra Women Flower Heart Black Long T-shirt,A Black T-shirt perfect for Summer.,S,Clothing
29,Urban Yoga Women Printed Pink T-shirt,A Pink T-shirt perfect for Summer.,S,Clothing
30,Jockey Women Blue Lounge Pant,A Blue Lounge Pant perfect for Winter.,S,Clothing
31,Urban Yoga Women Black Track Pant,A Black Track Pant perfect for Summer.,S,Clothing
32,Jockey Women Black Lounge Pant,A Black Lounge Pant perfect for Winter.,S,Clothing
33,Jealous 21 Women Red Peace T-shirt,A Red T-shirt perfect for Summer.,S,Clothing
