account_age_days,transactions_last_24h,avg_transaction_value,email_verified,failed_logins,shipping_billing_mismatch,is_fraud
2,8,300,0,3,1,1
5,12,500,0,5,1,1
10,15,450,0,4,1,1
1,20,600,0,6,1,1
3,9,400,0,2,1,1
4,14,700,0,3,1,1
6,7,650,0,2,1,1
12,10,550,0,3,1,1
15,13,500,0,4,1,1
2,8,700,0,5,1,1
300,2,20,1,0,0,0
350,1,30,1,0,0,0
400,0,25,1,0,0,0
280,1,18,1,0,0,0
365,0,50,1,0,0,0
290,3,40,1,1,0,0
410,2,35,1,1,0,0
320,1,22,1,0,0,0
500,2,30,1,0,0,0
365,1,40,1,1,0,0
10,6,550,0,2,1,1
8,5,600,0,3,1,1
7,11,700,0,3,1,1
11,10,450,0,4,1,1
6,12,490,0,3,1,1
5,7,520,0,3,1,1
4,9,470,0,4,1,1
3,15,680,0,5,1,1
9,8,640,0,3,1,1
2,10,710,0,6,1,1
200,1,35,1,1,0,0
230,2,50,1,0,0,0
180,3,40,1,0,0,0
220,2,45,1,0,0,0
240,0,30,1,0,0,0
260,1,25,1,0,0,0
300,2,40,1,0,0,0
270,3,20,1,1,0,0
340,1,18,1,0,0,0
330,2,22,1,0,0,0
320,1,28,1,0,0,0
180,4,55,1,1,0,0
150,3,65,1,1,0,0
160,2,60,1,0,0,0
170,5,75,1,1,0,0
140,2,50,1,0,0,0
130,3,45,1,0,0,0
120,4,35,1,0,0,0
110,2,40,1,0,0,0
100,3,30,1,0,0,0
